Key,Id,English(en),Japanese(ja),Russian(ru),Spanish(es),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),German(de),French(fr),Kazakh(kk),Korean(ko),Polish(pl),Turkish(tr),Ukrainian(uk)
"LIGHT_INT",21400294541746176,"Light Intensity","ライト強さ","Яркость света","Intensidad de luz","灯光强度","燈光強度","Lichtintensität","Intensité lumineuse","Жарық жарықтығы","조명 강도","Intensywność światła","Işık Yoğunluğu","Яскравість освітлення "
"LIGHT_SAT",21400296517263360,"Light Saturation","ライト彩度","Насыщенность света","Saturación de luz","灯光饱和度","燈光飽和度","Lichtsättigung","Saturation lumineuse","Жарықтың қанықтылығы","조명 채도","Nasycenie światła","Işık Doygunluğu","Насиченість освітлення "
"LIGHT_COL",21400297775554560,"Light Color","ライト色相","Цвет света","Color de luz","灯光颜色","燈光顏色","Lichtfarbe","Couleur de la lumière","Жарықтың түсі","조명 색상","Kolor światła","Işık Rengi","Колір освітлення "
"UPDATE",63722729174507520,"Update","アップデート","Обновить","Actualizacion","更新","更新","Update","Mise à jour","Жаңарту","업데이트","Aktualizacja","Güncelle","Оновити "
"ACTION_DRAG_01",64079105226743808,"Kyaa~ put me down…!!","きゃ～ おろして～!!","Кьяа~ отпусти меня...!!","Kyaa~  bajame…!!","呀～ 放我下来～！","哈啊~ 放我下來…!!","Kyaa~ setz mich ab..!","Kyaa~ repose moi par terre …!!","Кьяа~ отпусти меня...!!","꺄아~ 내려줘어…!!","Ej~ Odłóż mnie...!!","Kyaa~ Bırak beni…!!","Кьяа~ відпусти мене...!!"
"ACTION_DRAG_02",64086005318197248,"Don’t lift me up like that, it’s embarrassing~!","そんな風に持ち上げないで, 恥ずかしい～!","Не поднимай меня так, это стыдно~!","No me levantes asi, es vergonzoso~!","别那样把我举起来，好尴尬～！","不要這樣把我舉高，這很尷尬~!","Heb mich nicht so, das ist ja peinlich~","Arrête de me porter comme ça, c’est trop embarrassant ~!","Не поднимай меня так, это стыдно~!","그렇게 들어 올리지 마, 부끄럽단 말이야~!","Nie podnoś mnie tak, to mnie zawstydza~!","Beni böyle kaldırma, utanıyorum~!","Не підіймай мене так, це соромно~!"
"ACTION_DRAG_03",64086006849118208,"Please… set me gently back on the floor~","お願い… 優しくおろして～","Пожалуйста… аккуратно поставь меня обратно на пол~","Porfavor… ponme con cuidado en el suelo~","求你了… 轻点放我下来～","把我放回地上~ 拜託啦…","Bitte, ganz sachte wieder auf den boden >.<","S'il te plait ... repose moi doucement au sol ~","Пожалуйста… осторожно поставьте меня обратно на пол~","제발… 바닥에 살짝쿵 내려놔 줘~","Proszę... delikatnie połóż mnie z powrotem na podłodze~","Lütfen… beni nazikçe yere bırak~","Будь ласка... обережно поставте мене назад на підлогу ~"
"ACTION_DRAG_04",64086008195489792,"Kyaa! It’s too high! Hey, let me down!","きゃっ! 高い! ねえ、おろしてよ!","Кьяа! Слишком высоко! Эй, отпусти меня!","Kyaa! esta muy alto! Hey, bajame!","呀！好高！喂，快放我下来！","哈啊! 太高了! 嘿， 讓我下去!","Kyaa! Das ist zu hoch! Hey lass mich runter!","Kyaa ! C'est trop haut ! Repose moi sur le sol !","Кьяа! Слишком высоко! Эй, отпусти меня!","꺄아! 너무 높아! 야, 나 좀 내려줘!","Ojejku! Jest za wysoko! Hej, puść mnie!","Kyaa! Çok yüksek! Hey, bıraksana beni!","Кьяа! Це дуже високо! Постав мене назад~!"
"ACTION_DRAG_05",64086009676079104,"ahhhhhhh..!!! >_<","ああああああ..!!! >_<","аххххххх..!!! >_<","ahhhhhhh..!!! >_<","啊啊啊啊啊啊…！！！>_<","啊啊啊啊..!!! >_<","ahhhhhhh..!!! >_<","ahhhhhhh..!!! >_<","аххххххх..!!! >_<","아아아아앙…!!! >_<","ahhhhhhh..!!! >_<","ahhhhhhh..!!! >_<","ахххххх..!!! >_<"
"ACTION_DRAG_06",64086226806808576,"This isn’t a princess carry~! Let me down~!","こんなのお姫様抱っこじゃないよ～! おろして～!","Принцесс так не носят~! Отпусти меня~!","This isn’t a princess carry~! Let me down~!","这不是公主抱啦～！快放我下来～！","這不是公主抱~! 讓我下去~!","Das ist keine Prinzessin Kutsche~! Lass mich runter~!","Ce n'est pas comme ça qu'on porte une princesse ~! Laisse moi descendre ~!","Это не принцесса на руках~! Поставь меня на землю~!","이거 공주님 안기 아니거든?! 당장 내려놔~!","To nie jest podnoszenie księżniczki~! Puść mnie~!","Beni prenses gibi taşıma~! Bırak beni ~!","Це не принцеса на руках~! Відпусти мене ~!"
"ACTION_DRAG_07",64086278308667392,"Let me down!! >_<!!","おろして!! >_<!!","Отпусти меня!! >_<!!","Let me down!! >_<!!","放我下来！！ >_<！！","讓我下去!! >_<!!","Lass mich runter! >_<!!","Laisse moi descendre !!>_<!!","Поставь меня на землю!! >_<!!","내려줘어!! >_<!!","Puść mnie!! >_<!!","Bırak beni!! >_<!!","Відпусти мене!! >_<!!"
"ACTION_DANCE_01",64086678092947456,"Hehe, look at me spin~ am I cute?","えへへ、みてみて～ 回ってる私、かわいい？","Хе-хе, посмотрите, как я кручусь~ Я милая?","jeje, Mirame girar~ soy linda?","嘿嘿，看看～ 我转圈的样子，可爱吗？","嘻嘻, 看我旋轉~ 我可愛不?","Hehe schau mal wie ich mich drehe ^^","Hehe, regarde moi tourner~ je suis pas mignone ?","Хе-хе, посмотрите, как я кручусь~ Я милая?","헤헤, 나 도는 거 봐~ 귀여워?","Hehe, spójrz jak się kręcę~ czy jestem słodzutka?","Hehe, bak nasıl da dönüyorum~ Tatlı mıyım?","Хехе, дивись як я кружляю~Я мила?"
"ACTION_DANCE_02",64086768543113216,"Eee~ watch my moves, master~!","ねえ、ご主人様～！私を見て～！","Еее~ следи за моими движениями, хозяин~!","Eee~ mira como me muevo, amo~!","嘿，主人～！快看我跳舞～！","Eee~ 看看我的舞步， 主人~!","Eee~ schau wie ich tanze, master >.o ~!","Eee~ regarde mes mouvements, maître ~!","Еее~ следи за моими движениями, хозяин~!","에헤헷~ 주인님, 내 몸짓을 보라구~!","Eee~ patrz na moje ruchy, mistrzu~!","Eee~ hareketlerime bak, efendim~!","Еее~слідкуй за моїми рухами, господар~!"
"ACTION_DANCE_03",64087092846698496,"Kyaa, I can’t stop moving~ so fun!","きゃあ、止まれない～楽しい～!","Кьяа, я не могу перестать двигаться~ так весело!","Kyaa, no puedo parar~ que divertido!","呀，停不下来～好开心～！","哈啊， 我停不下來了~ 太好玩啦!","Kyaa, ich kann nicht aufhören mich zu bewegen~ so spaßig!","Kyaa, je ne peut pas arrêter de bouger~ trop amusant!","Кьяа, я не могу перестать двигаться~ так весело!","꺄아, 움직임이 멈추질 않아~ 너무 재밌어!","Ojej, nie mogę przestać się ruszać~ tak jest zabawnie!","Kyaa, duramıyorum~ çok eğlenceli!","Кьяа, я не можу перестати рухатись!~так весело!"
"ACTION_DANCE_04",64087094838992896,"Ufufu~ I’m your idol on stage now♪","うふふ～、 今の私はステージの上のアイドルだよ♪","Уфуфу~ Теперь я твой кумир на сцене♪","Ufufu~ soy tu idol en el escenario ahora♪","呼呼～，现在的我可是舞台上的偶像哦♪","呼呼~ 我是你臺上的偶像♪","Ufufu~ Ich bin jetzt dein Idol auf der Bühne♪","Ufufu~ C'est moi ton idole sur scène maintenant♪","Уфуфу~ Теперь я твой кумир на сцене♪","우후훗~ 나 지금 무대 위 아이돌이닷♪","Ufufu~ Teraz jestem twoją idolką na scenie♪","Ufufu~ Şimdi senin sahnedeki idolünüm♪","Уфуфу~Я твій кумир на сцені♪"
"ACTION_DANCE_05",64087097229746176,"Dance battle?! I’ll never lose~!","ダンスバトル!? 負けないよ～!","Танцевальный баттл?! Я никогда не проиграю~!","¿batalla de baile?! yo nunca pierdo~!","舞蹈对决！？我才不会输呢～！","舞蹈對決?! 我可不會輸的~!","Dance battle?! Das velier ich nicht~!","Bataille de danse ?! je n'ai jamais perdu~!","Танцевальный баттл?! Я никогда не проиграю~!","댄스 배틀?! 난 절대 안 진다구~!","Bitwa taneczna?! Nigdy nie przegram~!","Dans düellosu mu?! Asla kaybetmem~!","Танцювальний батл? Я ніколи не програю~!"
"ACTION_DANCE_06",64087099624693760,"Dance Dance Dance!! >_<","ダンス ダンス ダンス!! >_<","Танцуй, танцуй, танцуй!! >_<","Baile Baile Baile!! >_<","跳舞！跳舞！跳舞！！ >_<","來跳舞 跳舞 跳舞!! >_<","Tanz Tanz Tanz Tanz! >_<","Danse Danse Danse !! >_<","Танцуй, танцуй, танцуй!! >_<","댄스 댄스 댄스!! >_<","Taniec, taniec, taniec!! >_<","Dans~ Dans~ Dans~!! >_<","Танцюй, танцюй, танцюй!! >_<"
"ACTION_WINDOWSIT_01",64087382320783360,"Relaxing time~ finally a break!","休憩タイム～ やっと一休み！","Наконец-то перерыв! Время расслабиться~","Hora de relajarse~ alfin un descanso!","休息时间～ 终于可以歇一会儿了！","休息時間~ 終於能休息了!","Entspannungs Zeit~ endlich eine Pause!","C'est l'heure de se détendre ! enfin une pause !","Время расслабиться ~ наконец-то перерыв!","릴랙스 타임~ 드디어 쉬는 시간!","Czas pochillować~ w końcu przerwa!","Rahatlama zamanı~ sonunda bir mola~!","Час відпочинку ~нарешті перерва!"
"ACTION_WINDOWSIT_02",64087412918231040,"Hehe, I’ll just sit here and watch you work.","えへへ、ここに座ってお仕事見てるね","Хе-хе, я просто посижу здесь и посмотрю, как ты работаешь.","Jeje, solo estare aqui y te vere trabajar.","嘿嘿，我就坐这儿看你工作啦！","嘻嘻， 那我就坐在這裡看你工作吧。","Ich setz mich einfach mal hier hin und sieh dir beim Arbeiten zu~","Hehe, je vais juste m'assoir et te regarder travailler.","Хе-хе, я просто посижу здесь и посмотрю, как ты работаешь.","헤헤, 난 여기 앉아서 주인님 일하는 거 구경할래.","Hehe, po prostu posiedzę tu i popatrzę, jak pracujesz.","Hehe, ben burada oturup senin çalışmanı izleyeceğim~","Хехе, я буду сидіти тут і дивитись як ти працюєш."
"ACTION_WINDOWSIT_03",64087414772113408,"Mmm… comfy spot, don’t mind me~","ん～、この場所いい感じ…　あ、お構いなく～","Ммм... удобное местечко, не обращайте на меня внимания~","Mmm… ~ Un lugar comodo, no me hagas caso~","嗯～这个地方好舒服…啊，不用管我～","嗯… 舒服的地方， 不用管我~","Bequemes plätzchen. Beachte mich garnicht~","Mmm … quel endroit confortable, ne fais pas attention à moi ~","Ммм... удобное местечко, не обращайте на меня внимания~","음… 폭신한 자리네, 신경 쓰지 마~","Mmm... wygodne miejsce, nie przejmuj się mną~","Mmm… çok rahat bir yer~ bana aldırma~","Ммм, зручне місце, не зважай на мене~"
"ACTION_WINDOWSIT_04",64087416336588800,"I’ll cheer for you while you’re busy, master~!","ご主人様が忙しい間、応援してるね～!","Я буду болеть за вас, пока вы заняты, хозяин~!","Voy a apoyarte mientras estas ocupado amo~!","主人忙碌的时候，我会一直为你加油哦～！","在你忙的時候我會在旁邊為你加油，主人~!","Ich werde dich anfeuern solange du beschäftigt bist, Meister~!","Je vais t'encourager pendant que tu es occupé, maître ~!","Я буду болеть за вас, пока вы заняты, хозяин~!","주인님 바쁠 때 내가 열심히 응원해 줄게~!","Będę ci kibicować, kiedy będziesz zajęty, mistrzu~!","Sen meşgulken sana destek olacağım, efendim~!","Я буду вболівати за тебе поки ти зайнятий, господар~!"
"ACTION_WINDOWSIT_05",64087417628434432,"Nyaa~ I’ll stay here quietly, promise~","にゃ～、ここで静かにしておくね 約束～","Няяя~ Я буду сидеть тихо, обещаю~","Nyaa~ Me quedare aqui en silencio te lo prometo~","喵～ 我会在这里安静地待着，约定好啦～","Nyaa~ 我答應~我會安靜的待在這裡!","Nyaa~ Ich bleib hier Mucksmäuschenstill, versprochen~","Nyaa~ je reste ici gentiment, promis~","Няяя~ Я буду сидеть тихо, обещаю~","쉿! 여기서 꼼짝 않고 있을 거야, 진짜야!","Nyaa~ Będę cichutko jak myszka, obiecuję~","Nyaa~ Burada sessizce duracağım, söz~","Няя~Я буду сидіти тут тихо, обіцяю ~"
"ACTION_WINDOWSIT_06",64087418794450944,"Working hard? I’ll keep you company~","お仕事たいへん？ 私がついてるよ～","Усердно работаешь? Я составлю тебе компанию~","¿Trabajando duro? Te hare compañia~","工作很辛苦嘛？我陪着你哦～","工作很辛苦嘛? 我會陪你~","Hart am arbeiten? Ich werde dir gesellschaft leisten~","Tu travailles dur ? Je te tiens compagnie ~!","Усердно работаешь? Я составлю тебе компанию~","열심히 일해? 내가 옆에 있어 줄게~","Ciężko pracujesz? Dotrzymam ci towarzystwa~","Çok çalışıyor gibisin?... Ben hep yanında olacağım~!","Наполегливо працюєш? Я складу тобі компанію~"
"ACTION_SITTING_01",64088019687219200,"Shhh… don’t disturb me, I’m recharging cuteness~","しーっ… 今かわいさ充電中！邪魔しないでね～","Тссс… не мешай мне, я заряжаюсь милотой~","Shhh… No me interrumpas, estoy recargando mi ternura~","嘘……现在正在充电！别打扰我哦～","噓… 別打擾我，我的可愛在充能~","Shhh... stör mich nicht, ich lade süßheit auf~","Shhh … ne me dérange pas, je recharge mon charme ~","Тссс… не мешай мне, я заряжаюсь милостью~","쉿… 방해하지 마, 귀여움 충전 중이거든~","Ciii... nie przeszkadzaj mi, ładuję swą słodkość~","Şşş… Beni rahatsız etme, tatlılığımı şarj ediyorum~","Тссс, не заважай мені, я перезаряджаю свою чарівність~"
"ACTION_SITTING_02",64088020911955968,"Every pet deserves a macaron nap spot, right?","ペットだってマカロンのお昼寝スポットが必要、そうでしょ？","Каждый питомец заслуживает уютное местечко для сна в виде пироженки, не так ли?","Todas las mascotas merecen una siesta en el macaron, cierto?","宠物也需要一个马卡龙午睡点，对吧？","每個寵物都需要一塊馬卡龍來午覺，對吧?","Jedes Haustier verdient ein macaron schlafplatz, nicht wahr?","Tous les compagnons méritent bien un coussin macaron pour la sieste, non ?","Каждый питомец заслуживает место для макаронного сна, не так ли?","모든 펫은 마카롱 낮잠 자리가 있어야지, 그치?","Każdy z ludzików zasługuje na miejsce do drzemki na makaroniku, prawda?","Her evcil arkadaşın bir makaron şekerleme yeri olmalı, değil mi?","Кожний вихованець заслуговує на місце для сну на макароні, так?"
"ACTION_SITTING_03",64088021570461696,"Ehehe~ my pillow smells like sugar… so dreamy~","えへへ～ 私のまくら、甘いにおいがする… 夢みたい～","Эхехе~ моя подушечка пахнет как сахар… как же приятно~","Ehehe~ mi almohada huele a azucar… tan soñador~","嘻嘻～ 我的枕头，有股甜甜的味道… 像在做梦一样～","嘻嘻嘻~ 我的枕頭聞起來像糖果… 好夢幻~","Ehehe~ mein kissen riecht nacht Zucker.... so traumhaft~","Ehehe ~ mon coussin sent le sucre … le rêve ~","Эхехе~ моя подушка пахнет сахаром... так мечтательно~","에헤헷~ 내 베개에서 달콤한 설탕 냄새나… 꿈결 같아~","Ehehe~ moja poduszka pachnie cukrem... tak cudownie~","Ehehe~ Yastığım şeker gibi kokuyor… rüyalarımdaki gibi~","Ехехе~моя подушка пахне як цукор...так мрійливо~"
"ACTION_SITTING_04",64088022228967424,"So soft… I’m melting into it~","ふわふわ… とけちゃいそう～","Так мягко… я просто таю в ней~","Tan suave… me derrito en el~","软绵绵… 感觉要化掉了～","好軟… 我要融化了~","So sanft... ich schmelze hinein~","Trop moelleux … je disparais dedans ~","Так мягко… Я таю в нем~","너무 부드러워… 녹아내리는 것 같아~","Tak miękka... wtapiam się w nią~","Yumuşacık~ eriyip gidiyorum~","Так м'яко... Я таю в ній~"
"ACTION_SITTING_05",64088022841335808,"Sweet dreams on a sweet pillow, ehehe~","甘いまくらで甘い夢を… えへへ～","Сладких снов на моей сладкой подушке, эхехе~","Dulces sueños en una dulce almohada, jejeje~","在甜甜的枕头上做甜甜的梦… 嘿嘿～","香甜的夢在香甜的枕頭上，嘻嘻~","Süße Träume auf einem süßen kissen, ehehe~","Doux rêves sur un coussin moelleux, ehehe~","Сладких снов на сладкой подушке, эхехе~","달콤한 베개 위에서 달콤한 꿈을, 에헤헷~","Słodkich snów na słodkiej poduszce, ehehe~","Tatlı yastıkta tatlı rüyalar, ehehe~","Солодкі сни на солодкій подушці, ехехе~"
"ACTION_SITTING_06",64088023474675712,"Mmm… this macaron is so fluffy~ I could nap forever…","ん～ このマカロンふわふわすぎて、ずっと寝ちゃいそう…","Ммм… эта пироженка такая воздушная~ Я могла бы спать вечно…","Mmm… Este macaron es tan sueve~ podria dormir por siempre…","嗯～ 这个马卡龙太软绵绵了，感觉会一直睡下去…","嗯… 這馬卡龍好軟~ 我可以永遠睡在這裡…","Mmm... dieses macaron ist so fluffig~ ich könnte für immer schlafen...","Mmm … ce macaron est si doux ~ je pourrais dormir pour toujours …","Ммм… этот макарон такой воздушный~ Я могла бы спать вечно…","음… 이 마카롱 너무 폭신해~ 영원히 낮잠 잘 수 있겠어…","Mmm... ten makaronik jest taki puszysty~ Mogłabym drzemać w nieskończoność...","Mmm… bu makaron o kadar yumuşak ki~ sonsuza dek kestireblirim…","Ммм, цей макарон дуже пухнастий~ Я можу спати вічно..."
"ITEM_SAKURA_HALO",64485837908254720,"Sakura Halo","桜ヘイロー","Сакуровый нимб","Halo Sakura","樱花光环","櫻花圈","Sakura Heiligenschein","Halo de fleurs","Сакура Ореолі","벚꽃 헤일로","Aureola Sakura","Sakura Halkası","Німб із сакури "
"ITEM_RETRO_HALO",64485839854411776,"Retro Halo","レトロヘイロー","Ретро нимб","Halo Retro","复古光环","復古光環","Retro Heiligenschein","Halo Retro","Ретро Ореол","레트로 헤일로","Aureola Retro","Retro Halkası","Ретро німб"
"OPTION_EVENT_MESSAGES",64485841104314368,"Event Based Messages","イベントベースのメッセージ","Сообщения на основе событий","Mensajes basados en eventos","基于事件的提示信息","反應式訊息","Event basierte Nachrichten","Messages Basés sur les événements","Оқиғаға негізделген хабарламалар","이벤트 기반 메시지","Wiadomości oparte na wydarzeniach","Etkinlik Tabanlı Mesajlar","Повідомлення на основі подій "
"OPTION_DANCE_TRANSITIONS",64486049066295296,"Enable Dance transitions","ダンス遷移を有効化","Включить танцевальные переходы","Habilitar transiciones de baile","启用舞蹈过渡","啟用舞蹈轉場","Aktiviere Tanzübergang","Activer les transitions entre les danses","Би ауысуларын қосу","댄스 전환 활성화","Włącz przejścia taneczne","Dans Geçişlerini Etkinleştir","Увімкнути переходи танців"
"OPTION_DANCE_TRANSITIONS_CHANGE_TIME",64486115202080768,"Dance Change Time","ダンス変更時間","Время смены танца","Tiempo de cambio de baile","舞蹈改变时间","舞蹈變化時間","Tanzwechselzeit","Temps pour changer de danse","Би ауысу уақыты","댄스 변경 시간","Czas zmiany tańca","Dans Değişme Süresi","Час зміни танцю"
"OPTION_DANCE_TRANSITIONS_TRANSITION_TIME",64486115827032064,"Dance transition Time","ダンス遷移時間","Время перехода танца","Tiempo de transición de baile","舞蹈过渡时间","舞蹈轉場時間","Tanz Übergangszeit","Durée de la transition entre deux danses","Би өтпелі уақыты","댄스 전환 시간","Czas przejścia tańca","Dans Geçiş Süresi","Час переходу танцю "
"OPTION_START_WITH_SYSTEM",64486267505647616,"Start With System","システム起動時に開始","Запуск с системой","Iniciar con el sistema","随系统启动","開機時啟動","Starte mit dem System","Démarrer avec l'ordinateur","Жүйемен бірге іске қосу","시스템 시작 시 실행","Uruchom wraz z systemem","Sistemle Birlikte Başlat","Запускати разом із системою "
"INPUT_AI_SYSTEM_PROMPT",64486353119780864,"AI System Prompt","AIシステムプロンプト","Системный промпт ИИ","Indicador del sistema de IA","AI系统提示词","AI系統提示","KI Chat Befehle","Prompt pour le Système IA","AI жүйесінің нұсқауы","AI 시스템 프롬프트","Prompt systemu AI","Yapay Zekâ Sistem İstemi","Інструкція ШІ"
"BUTTON_DELETE_CHAT_HISTORY",64486586960617472,"Del. CHAT HISTORY","チャット履歴を削除","Удалить историю чата","Eliminar historial de chat","清除聊天记录","清除聊天紀錄","Lösche Chatverlauf","Supprimer l'Historique de Discussion","Чат тарихын жою","채팅 기록 삭제","Usuń historię czatu","Sohbet Geçmişini Sil","Видалити історію чату"
"CAT_GENERAL",70973429180833792,"General","一般","Общие","General","一般","一般","Allgemein","Général","Жалпы","일반","Ogólne","Genel","Загальні"
"CAT_AUDIO",70973430707560448,"Audio","オーディオ","Звук","Audio","音频","音訊","Audio","Audio","Дыбыс","오디오","Dźwięk","Ses","Звук"
"CAT_MOVEMENT",70973432238481408,"Movement","移動","Движение","Movimiento","动作","移動","Bewegung","Déplacement","Қозғалыс","움직임","Ruch","Hareket","Рух"
"CAT_APPEARANCE",70973433303834624,"Appearance","外観","Внешний вид","Apariencia","外观","外觀","Aussehen","Apparence","Сыртқы түр","외형","Wygląd","Görünüm","Зовнішній вигляд"
"CAT_DANCING",70973434356604928,"Dancing","ダンス","Танцы","Danza","舞蹈","跳舞","Tanzen","Danse","Би","댄스","Taniec","Dans","Танці"
"CAT_WINDOW",70973435300323328,"Window Feature","ウィンドウ機能","Функция окна","Función de ventana","窗口行为","窗口功能（坐在窗口）","Fensterfunktion","Fonctions des fenêtres","Терезе мүмкіндігі","윈도우 기능","Funkcja okna","Pencere özelliği","Функція вікна"
"CAT_DESIGN",70973436151767040,"Design","デザイン","Дизайн","Diseño","UI设计","設計","Design","Design","Дизайн","디자인","Styl","Tasarım","Дизайн"
"CAT_ALARM",70973438601240576,"Alarm","アラーム","Будильник","Alarma","闹钟","鬧鐘","Alarm","Alarme","Оятқыш","알람","Alarm","Alarm","Будильник"
"CAT_AI",70973439893086208,"AI","AI","ИИ","IA","AI","人工智能","KI","IA","Жасанды интеллект","AI ","SI","Yapay Zeka","ШІ"
"CAT_DEBUG",70973441449172992,"Debug","デバッグ","Отладка","Depuración","调试","除錯","Debug","Débogage","Ақауды түзету","디버그","Debugowanie","Hata Ayıklama (Debugging)","Налагодження"
"CAT_STEAMDLCS",70973443252723712,"Steam DLCs","Steam DLC","DLC Steam","DLC de Steam","Steam DLC","Steam DLCs","Steam DLCs","DLC Steam","Steam DLC","스팀 DLC","DLC Steam","Steam DLC'leri","DLC Steam"
"TIP_DISCORD_RPC",70999952109641728,"Displays in Discord that you are currently using MateEngine in Game Activity on your Profile. It shows what your pet is doing, such as playing music, idling, sitting, and more.","Discordの「プレイ中」にMateEngineを表示し、ペットの動作（音楽再生、待機、座るなど）を表示します。","Отображает в Discord, что вы в данный момент используете MateEngine в режиме просмотра игры. Показывает, чем занимается ваш питомец, например, играет музыку, бездельничает, сидит и т. д.","Muestra en Discord que estás usando MateEngine en la Vista de Juego. Muestra lo que hace tu mascota, como reproducir música, estar inactiva, sentada y más.","在 Discord 上显示你的 MateEngine 游戏状态。它会展示你的角色正在做什么，比如播放音乐、闲置、坐着等等。","在 Discord 中顯示你正在使用 MateEngine。會顯示你的寵物正在做什麼，例如播放音樂、閒置或坐著等。","MateEngine wird gerade als Aktivität in Discord angezeigt. Es wird angezeigt was dein Haustier gerade macht, wie Musik abspielen, untätig sein, sitzen und weiteres.","Affiche dans Discord que vous utilisez MateEngine. Indique également ce que votre compagnon est en train de faire: jouer de la musique, au repos, assis, et bien plus.","Discord-та MateEngine бағдарламасын Ойын көрінісінде қолданып жатқаныңызды көрсетеді. Бұл сіздің үй жануарыңыз не істеп жатқанын көрсетеді, мысалы, музыка ойнау, бос тұру, отыру және тағы басқа.","Discord에 사용자가 MateEngine을 사용 중임을 표시합니다. 아바타가 음악 감상, 대기, 앉기 등 어떤 행동을 하고 있는지 보여줍니다.","Wyświetla na Discordzie, że w danym momencie korzystasz z MateEngine. Pokazuje, co robi twoje stworzonko, tak jak odtwarzanie muzyki, siedzenie, itp.!","Discord’da, MateEngine’i Oyun Görünümü modunda kullandığınızı gösterir. Evcil arkadaşınızın müzik çalmak, dinlenmek, oturmak ve daha fazlası gibi yaptığı hareketleri Discord durumunuzda görüntüler.","Відображає у Discord що ви зараз використовуєте MateEngine. Це показує що робить ваш вихованець, наприклад, грає музику, простоює, сидить, та більше."
"TIP_IDLESWITCHTIME",71002484403904512,"The delay before the next idle animation starts. It’s recommended to keep it around 50% for smooth and natural transitions.","次の待機アニメーションが始まるまでの遅延時間です。自然な切り替えのため、50％前後をおすすめします。","Задержка перед началом следующей анимации ожидания. Для плавных и естественных переходов рекомендуется устанавливать значение около 50%.","El retraso antes del inicio de la siguiente animación activa. Se recomienda mantenerlo alrededor del 50 % para lograr transiciones fluidas y naturales.","下一段闲置动画开始前的延迟时间。建议保持在50%左右，以获得平滑自然的过渡效果。","控制下一個待機動畫開始前的延遲。建議保持在約 50% 以確保更自然的動書轉換。","Die Verzögerung bevor die nächte Idle-Animation beginnt. Es ist empfehlenswert, diesen Wert bei 50% zu lassen, um flüssige und natürliche Übergänge gewährzuleisten.","Délai avant que la prochaine animation d'inactivité ne commence. Il est recommandé de conserver la valeur aux environs de 50% pour des transitions douces et naturelles.","Келесі бос анимация басталғанға дейінгі кідіріс. Жұмсақ және табиғи ауысу үшін оны шамамен 50% деңгейінде ұстау ұсынылады.","다음 대기 애니메이션이 시작되기 전 지연 시간입니다. 부드럽고 자연스러운 전환을 위해 50% 부근을 유지하는 것을 권장합니다.","Opóźnienie przed rozpoczęciem nowej animacji. Polecana wartość to 50%, dla płynnych i naturalnych zmian.","Bir sonraki bekleme animasyonunun başlamasından önceki gecikme süresi. Akıcı ve doğal geçişler için bu değeri yaklaşık %50 civarında tutmanız önerilir.","Затримка перед тим коли відобразиться наступна анімація очікування. Рекомендовано тримати це біля 50% для плавних та природніх переходів."
"TIP_IDLESWITCHANIM",71003365492957184,"Determines how long the transition between animation A and animation B takes. Keep this value low for smooth transitions between idle animations.","アニメーション A から B への切り替え時間です。値を低くすると、より滑らかに遷移します。","Определяет продолжительность перехода между анимацией A и анимацией B. Установите низкое значение для плавного перехода между анимациями в режиме ожидания.","Determina cuanto tarda la transicion entre animacion A y animacion B. Manten este valor bajo para animacuones mas suaves entre animaciones activas","闲置动画过渡所需的时间。为了让动画之间的衔接更流畅，建议让该数值保持较低。","控制動畫 A 與動畫 B 之間的切換時間。建議保持數值較低以獲得自然的動書轉換。","Legt fest wie lange der Übergang zwischen Animation A und B braucht. Ein niedriger Wert sorgt für flüssige Übergänge zwischen den Idle—Animationen.","Détermine la durée de la transition entre l'animation A et l'animation B. Gardez cette valeur faible pour des transitions douces entre les animations d'inactivité.","Анимация A мен анимация B арасындағы өтудің қанша уақыт алатынын анықтайды. Бос анимациялар арасындағы тегіс өтулер үшін бұл мәнді төмен ұстаңыз.","애니메이션 A와 B 사이의 전환에 걸리는 시간을 결정합니다. 대기 애니메이션 간의 부드러운 전환을 위해 이 값을 낮게 유지하세요.","Określa, jak długo trwa przejście między animacją A a animacją B. Utrzymuj tę wartość niską, aby uzyskać płynne przejścia między animacjami bezczynności.","Animasyon A ile B arasındaki geçiş süresini belirler. Bekleme animasyonları arasında daha akıcı bir görünüm için bu değeri düşük tutmanız önerilir.","Визначає як довго відбувається перехід між анімаціями А та Б. Тримайте це значення малим для плавних переходів між анімаціями очікування."
